size,dataset,algorithm
1000,crescente_com_rep,Bubble
1000,crescente_com_rep,Insertion
1000,crescente_com_rep,Selection
1000,crescente_com_rep,Merge
1000,crescente_com_rep,Quick
1000,crescente_com_rep,Heap
1000,decrescente_com_rep,Bubble
1000,decrescente_com_rep,Insertion
1000,decrescente_com_rep,Selection
1000,decrescente_com_rep,Merge
1000,decrescente_com_rep,Quick
1000,decrescente_com_rep,Heap
1000,aleatorio_com_rep,Bubble
1000,aleatorio_com_rep,Insertion
1000,aleatorio_com_rep,Selection
1000,aleatorio_com_rep,Merge
1000,aleatorio_com_rep,Quick
1000,aleatorio_com_rep,Heap
1000,crescente_sem_rep,Bubble
1000,crescente_sem_rep,Insertion
1000,crescente_sem_rep,Selection
1000,crescente_sem_rep,Merge
1000,crescente_sem_rep,Quick
1000,crescente_sem_rep,Heap
1000,decrescente_sem_rep,Bubble
1000,decrescente_sem_rep,Insertion
1000,decrescente_sem_rep,Selection
1000,decrescente_sem_rep,Merge
1000,decrescente_sem_rep,Quick
1000,decrescente_sem_rep,Heap
1000,aleatorio_sem_rep,Bubble
1000,aleatorio_sem_rep,Insertion
1000,aleatorio_sem_rep,Selection
1000,aleatorio_sem_rep,Merge
1000,aleatorio_sem_rep,Quick
1000,aleatorio_sem_rep,Heap
1600,crescente_com_rep,Bubble
1600,crescente_com_rep,Insertion
1600,crescente_com_rep,Selection
1600,crescente_com_rep,Merge
1600,crescente_com_rep,Quick
1600,crescente_com_rep,Heap
1600,decrescente_com_rep,Bubble
1600,decrescente_com_rep,Insertion
1600,decrescente_com_rep,Selection
1600,decrescente_com_rep,Merge
1600,decrescente_com_rep,Quick
1600,decrescente_com_rep,Heap
1600,aleatorio_com_rep,Bubble
1600,aleatorio_com_rep,Insertion
1600,aleatorio_com_rep,Selection
1600,aleatorio_com_rep,Merge
1600,aleatorio_com_rep,Quick
1600,aleatorio_com_rep,Heap
1600,crescente_sem_rep,Bubble
1600,crescente_sem_rep,Insertion
1600,crescente_sem_rep,Selection
1600,crescente_sem_rep,Merge
1600,crescente_sem_rep,Quick
1600,crescente_sem_rep,Heap
1600,decrescente_sem_rep,Bubble
1600,decrescente_sem_rep,Insertion
1600,decrescente_sem_rep,Selection
1600,decrescente_sem_rep,Merge
1600,decrescente_sem_rep,Quick
1600,decrescente_sem_rep,Heap
1600,aleatorio_sem_rep,Bubble
1600,aleatorio_sem_rep,Insertion
1600,aleatorio_sem_rep,Selection
1600,aleatorio_sem_rep,Merge
1600,aleatorio_sem_rep,Quick
1600,aleatorio_sem_rep,Heap
2200,crescente_com_rep,Bubble
2200,crescente_com_rep,Insertion
2200,crescente_com_rep,Selection
2200,crescente_com_rep,Merge
2200,crescente_com_rep,Quick
2200,crescente_com_rep,Heap
2200,decrescente_com_rep,Bubble
2200,decrescente_com_rep,Insertion
2200,decrescente_com_rep,Selection
2200,decrescente_com_rep,Merge
2200,decrescente_com_rep,Quick
2200,decrescente_com_rep,Heap
2200,aleatorio_com_rep,Bubble
2200,aleatorio_com_rep,Insertion
2200,aleatorio_com_rep,Selection
