size,dataset,algorithm,time_ms,status
1000,crescente_com_rep,Bubble,0.466,OK
1000,crescente_com_rep,Insertion,1.090,OK
1000,crescente_com_rep,Selection,3.427,OK
1000,crescente_com_rep,Merge,1.454,OK
1000,crescente_com_rep,Quick,2.036,OK
1000,crescente_com_rep,Heap,1.771,OK
1000,decrescente_com_rep,Bubble,4.809,OK
1000,decrescente_com_rep,Insertion,3.249,OK
1000,decrescente_com_rep,Selection,7.749,OK
1000,decrescente_com_rep,Merge,0.584,OK
1000,decrescente_com_rep,Quick,0.371,OK
1000,decrescente_com_rep,Heap,0.215,OK
1000,aleatorio_com_rep,Bubble,0.917,OK
1000,aleatorio_com_rep,Insertion,0.983,OK
1000,aleatorio_com_rep,Selection,0.601,OK
1000,aleatorio_com_rep,Merge,0.256,OK
1000,aleatorio_com_rep,Quick,0.291,OK
1000,aleatorio_com_rep,Heap,0.177,OK
1000,crescente_sem_rep,Bubble,0.066,OK
1000,crescente_sem_rep,Insertion,0.112,OK
1000,crescente_sem_rep,Selection,0.535,OK
1000,crescente_sem_rep,Merge,0.023,OK
1000,crescente_sem_rep,Quick,0.183,OK
1000,crescente_sem_rep,Heap,0.160,OK
1000,decrescente_sem_rep,Bubble,3.632,OK
1000,decrescente_sem_rep,Insertion,1.790,OK
1000,decrescente_sem_rep,Selection,0.557,OK
1000,decrescente_sem_rep,Merge,0.895,OK
1000,decrescente_sem_rep,Quick,0.170,OK
1000,decrescente_sem_rep,Heap,0.153,OK
1000,aleatorio_sem_rep,Bubble,2.107,OK
1000,aleatorio_sem_rep,Insertion,0.928,OK
1000,aleatorio_sem_rep,Selection,0.566,OK
1000,aleatorio_sem_rep,Merge,0.263,OK
1000,aleatorio_sem_rep,Quick,0.248,OK
1000,aleatorio_sem_rep,Heap,0.169,OK
1600,crescente_com_rep,Bubble,0.006,OK
1600,crescente_com_rep,Insertion,0.013,OK
1600,crescente_com_rep,Selection,1.297,OK
1600,crescente_com_rep,Merge,0.056,OK
1600,crescente_com_rep,Quick,0.205,OK
1600,crescente_com_rep,Heap,0.236,OK
1600,decrescente_com_rep,Bubble,1.156,OK
1600,decrescente_com_rep,Insertion,0.695,OK
1600,decrescente_com_rep,Selection,1.290,OK
1600,decrescente_com_rep,Merge,0.235,OK
1600,decrescente_com_rep,Quick,0.182,OK
1600,decrescente_com_rep,Heap,0.247,OK
1600,aleatorio_com_rep,Bubble,2.788,OK
1600,aleatorio_com_rep,Insertion,0.329,OK
1600,aleatorio_com_rep,Selection,1.138,OK
1600,aleatorio_com_rep,Merge,0.231,OK
1600,aleatorio_com_rep,Quick,0.194,OK
1600,aleatorio_com_rep,Heap,0.262,OK
1600,crescente_sem_rep,Bubble,0.003,OK
1600,crescente_sem_rep,Insertion,0.005,OK
1600,crescente_sem_rep,Selection,1.240,OK
1600,crescente_sem_rep,Merge,0.025,OK
1600,crescente_sem_rep,Quick,0.143,OK
1600,crescente_sem_rep,Heap,0.192,OK
1600,decrescente_sem_rep,Bubble,0.852,OK
1600,decrescente_sem_rep,Insertion,0.479,OK
1600,decrescente_sem_rep,Selection,1.305,OK
1600,decrescente_sem_rep,Merge,0.059,OK
1600,decrescente_sem_rep,Quick,0.175,OK
1600,decrescente_sem_rep,Heap,0.273,OK
1600,aleatorio_sem_rep,Bubble,2.276,OK
1600,aleatorio_sem_rep,Insertion,0.302,OK
1600,aleatorio_sem_rep,Selection,1.139,OK
1600,aleatorio_sem_rep,Merge,0.146,OK
1600,aleatorio_sem_rep,Quick,0.174,OK
1600,aleatorio_sem_rep,Heap,0.273,OK
2200,crescente_com_rep,Bubble,0.004,OK
2200,crescente_com_rep,Insertion,0.007,OK
2200,crescente_com_rep,Selection,2.331,OK
2200,crescente_com_rep,Merge,0.014,OK
2200,crescente_com_rep,Quick,0.157,OK
2200,crescente_com_rep,Heap,0.315,OK
2200,decrescente_com_rep,Bubble,1.943,OK
2200,decrescente_com_rep,Insertion,1.174,OK
2200,decrescente_com_rep,Selection,2.390,OK
2200,decrescente_com_rep,Merge,0.096,OK
2200,decrescente_com_rep,Quick,0.184,OK
2200,decrescente_com_rep,Heap,0.486,OK
2200,aleatorio_com_rep,Bubble,3.626,OK
2200,aleatorio_com_rep,Insertion,0.570,OK
2200,aleatorio_com_rep,Selection,2.369,OK
2200,aleatorio_com_rep,Merge,0.209,OK
2200,aleatorio_com_rep,Quick,0.271,OK
2200,aleatorio_com_rep,Heap,0.352,OK
2200,crescente_sem_rep,Bubble,0.003,OK
2200,crescente_sem_rep,Insertion,0.007,OK
2200,crescente_sem_rep,Selection,1.903,OK
2200,crescente_sem_rep,Merge,0.014,OK
2200,crescente_sem_rep,Quick,0.187,OK
2200,crescente_sem_rep,Heap,0.299,OK
2200,decrescente_sem_rep,Bubble,2.822,OK
2200,decrescente_sem_rep,Insertion,0.988,OK
2200,decrescente_sem_rep,Selection,2.379,OK
2200,decrescente_sem_rep,Merge,0.098,OK
2200,decrescente_sem_rep,Quick,0.237,OK
2200,decrescente_sem_rep,Heap,0.357,OK
2200,aleatorio_sem_rep,Bubble,4.388,OK
2200,aleatorio_sem_rep,Insertion,0.652,OK
2200,aleatorio_sem_rep,Selection,1.848,OK
2200,aleatorio_sem_rep,Merge,0.211,OK
2200,aleatorio_sem_rep,Quick,0.259,OK
2200,aleatorio_sem_rep,Heap,0.359,OK
2800,crescente_com_rep,Bubble,0.003,OK
2800,crescente_com_rep,Insertion,0.008,OK
2800,crescente_com_rep,Selection,2.832,OK
2800,crescente_com_rep,Merge,0.020,OK
2800,crescente_com_rep,Quick,0.209,OK
2800,crescente_com_rep,Heap,0.367,OK
2800,decrescente_com_rep,Bubble,3.416,OK
2800,decrescente_com_rep,Insertion,1.715,OK
2800,decrescente_com_rep,Selection,3.716,OK
2800,decrescente_com_rep,Merge,0.108,OK
2800,decrescente_com_rep,Quick,0.214,OK
2800,decrescente_com_rep,Heap,0.368,OK
2800,aleatorio_com_rep,Bubble,6.206,OK
2800,aleatorio_com_rep,Insertion,0.809,OK
2800,aleatorio_com_rep,Selection,3.151,OK
2800,aleatorio_com_rep,Merge,0.276,OK
2800,aleatorio_com_rep,Quick,0.370,OK
2800,aleatorio_com_rep,Heap,0.481,OK
2800,crescente_sem_rep,Bubble,0.006,OK
2800,crescente_sem_rep,Insertion,0.012,OK
2800,crescente_sem_rep,Selection,1.936,OK
2800,crescente_sem_rep,Merge,0.030,OK
2800,crescente_sem_rep,Quick,0.295,OK
2800,crescente_sem_rep,Heap,0.503,OK
2800,decrescente_sem_rep,Bubble,2.772,OK
2800,decrescente_sem_rep,Insertion,2.141,OK
2800,decrescente_sem_rep,Selection,2.650,OK
2800,decrescente_sem_rep,Merge,0.137,OK
2800,decrescente_sem_rep,Quick,0.354,OK
2800,decrescente_sem_rep,Heap,0.440,OK
2800,aleatorio_sem_rep,Bubble,5.208,OK
2800,aleatorio_sem_rep,Insertion,0.829,OK
2800,aleatorio_sem_rep,Selection,3.083,OK
2800,aleatorio_sem_rep,Merge,0.357,OK
2800,aleatorio_sem_rep,Quick,0.348,OK
2800,aleatorio_sem_rep,Heap,0.469,OK
3400,crescente_com_rep,Bubble,0.005,OK
3400,crescente_com_rep,Insertion,0.012,OK
3400,crescente_com_rep,Selection,5.209,OK
3400,crescente_com_rep,Merge,0.043,OK
3400,crescente_com_rep,Quick,0.288,OK
3400,crescente_com_rep,Heap,0.377,OK
3400,decrescente_com_rep,Bubble,6.919,OK
3400,decrescente_com_rep,Insertion,2.089,OK
3400,decrescente_com_rep,Selection,3.846,OK
3400,decrescente_com_rep,Merge,0.155,OK
3400,decrescente_com_rep,Quick,0.306,OK
3400,decrescente_com_rep,Heap,0.361,OK
3400,aleatorio_com_rep,Bubble,7.409,OK
3400,aleatorio_com_rep,Insertion,1.409,OK
3400,aleatorio_com_rep,Selection,3.298,OK
3400,aleatorio_com_rep,Merge,0.231,OK
3400,aleatorio_com_rep,Quick,0.543,OK
3400,aleatorio_com_rep,Heap,0.455,OK
3400,crescente_sem_rep,Bubble,0.004,OK
3400,crescente_sem_rep,Insertion,0.012,OK
3400,crescente_sem_rep,Selection,3.884,OK
3400,crescente_sem_rep,Merge,0.041,OK
3400,crescente_sem_rep,Quick,0.350,OK
3400,crescente_sem_rep,Heap,0.352,OK
3400,decrescente_sem_rep,Bubble,7.494,OK
3400,decrescente_sem_rep,Insertion,2.478,OK
3400,decrescente_sem_rep,Selection,2.480,OK
3400,decrescente_sem_rep,Merge,0.133,OK
3400,decrescente_sem_rep,Quick,0.374,OK
3400,decrescente_sem_rep,Heap,0.346,OK
3400,aleatorio_sem_rep,Bubble,10.270,OK
3400,aleatorio_sem_rep,Insertion,0.536,OK
3400,aleatorio_sem_rep,Selection,3.446,OK
3400,aleatorio_sem_rep,Merge,0.374,OK
3400,aleatorio_sem_rep,Quick,0.506,OK
3400,aleatorio_sem_rep,Heap,0.439,OK
4000,crescente_com_rep,Bubble,0.013,OK
4000,crescente_com_rep,Insertion,0.015,OK
4000,crescente_com_rep,Selection,4.975,OK
4000,crescente_com_rep,Merge,0.038,OK
4000,crescente_com_rep,Quick,0.397,OK
4000,crescente_com_rep,Heap,0.445,OK
4000,decrescente_com_rep,Bubble,5.984,OK
4000,decrescente_com_rep,Insertion,2.542,OK
4000,decrescente_com_rep,Selection,7.752,OK
4000,decrescente_com_rep,Merge,0.176,OK
4000,decrescente_com_rep,Quick,0.453,OK
4000,decrescente_com_rep,Heap,0.535,OK
4000,aleatorio_com_rep,Bubble,8.693,OK
4000,aleatorio_com_rep,Insertion,1.818,OK
4000,aleatorio_com_rep,Selection,5.502,OK
4000,aleatorio_com_rep,Merge,0.414,OK
4000,aleatorio_com_rep,Quick,0.560,OK
4000,aleatorio_com_rep,Heap,0.713,OK
4000,crescente_sem_rep,Bubble,0.005,OK
4000,crescente_sem_rep,Insertion,0.022,OK
4000,crescente_sem_rep,Selection,7.139,OK
4000,crescente_sem_rep,Merge,0.052,OK
4000,crescente_sem_rep,Quick,0.437,OK
4000,crescente_sem_rep,Heap,0.559,OK
4000,decrescente_sem_rep,Bubble,9.197,OK
4000,decrescente_sem_rep,Insertion,2.351,OK
4000,decrescente_sem_rep,Selection,4.496,OK
4000,decrescente_sem_rep,Merge,0.208,OK
4000,decrescente_sem_rep,Quick,0.385,OK
4000,decrescente_sem_rep,Heap,0.520,OK
4000,aleatorio_sem_rep,Bubble,8.533,OK
4000,aleatorio_sem_rep,Insertion,0.862,OK
4000,aleatorio_sem_rep,Selection,5.244,OK
4000,aleatorio_sem_rep,Merge,0.367,OK
4000,aleatorio_sem_rep,Quick,0.539,OK
4000,aleatorio_sem_rep,Heap,0.704,OK
4600,crescente_com_rep,Bubble,0.005,OK
4600,crescente_com_rep,Insertion,0.013,OK
4600,crescente_com_rep,Selection,5.450,OK
4600,crescente_com_rep,Merge,0.057,OK
4600,crescente_com_rep,Quick,0.388,OK
4600,crescente_com_rep,Heap,0.487,OK
4600,decrescente_com_rep,Bubble,14.371,OK
4600,decrescente_com_rep,Insertion,3.471,OK
4600,decrescente_com_rep,Selection,9.787,OK
4600,decrescente_com_rep,Merge,0.315,OK
